[INFO 17:38:14] alexdauenhauer.catppuccin-noctis-icons activated
[INFO 17:38:14] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:38:14] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:38:14] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:38:15] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:38:15] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:38:15] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:38:15] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:38:15] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:38:15] catppuccin-noctis-icons.files.associations changed, updating to undefined
[INFO 17:38:24] catppuccin-noctis-icons.hidesExplorerArrows changed, updating to false
[INFO 17:38:24] catppuccin-noctis-icons.folders.associations changed, updating to undefined
[INFO 17:38:24] catppuccin-noctis-icons.files.associations changed, updating to undefined
